time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.99556530824e-06,1.56737950257e-05,0.0024193773747,0.00457189526842,0.000959303382618,0.0,-0.000185444941482,0.000953675804687,0.0806422962895,0.0222535346281,0.00959617305132,0.0,430.4250054589546,431.2361563302349,429.65691248032294,431.539047346979
0.12000000000000001,-3.53249329062e-05,0.000164738397989,0.00857485506306,0.00595787579096,0.001901615007,0.0,-0.000975303002896,0.00414868844324,0.124535306007,0.0183089339458,0.0151359673562,0.0,417.93493431156315,418.41729903583297,419.46360388757796,419.1209938877941
0.18,-0.000146080648839,0.000560527014124,0.0213930750564,0.00806463667736,0.00370854967805,0.0,-0.00293497813519,0.00929730124978,0.302705387102,0.00604423283307,0.00348162372094,0.0,461.3569407680017,460.43588867280386,461.7323755461898,460.7638431911494
0.23999999999999996,-0.000430017260026,0.00134619234244,0.0494820917138,0.0092565373183,0.00495241678315,0.0,-0.00668485473483,0.0170407631813,0.633469261614,0.0148916157808,0.0134904154514,0.0,504.1302458516321,504.8527041182955,505.17029861542954,505.80763150093753
0.3,-0.00098351032673,0.00266475181024,0.0983426668612,0.0149547904623,0.00727085769597,0.0,-0.0120725648221,0.0277459923981,0.994962414169,-0.0103502018138,0.0258004432941,0.0,512.5117460013572,513.3857027076632,515.3264183014602,513.5392466643596
0.36000000000000004,-0.00184680585583,0.00461693167078,0.158754662431,0.0183041358824,0.00886212709784,0.0,-0.0168469301079,0.0376510941766,1.01874313055,-0.0334107964554,0.0271750917018,0.0,412.86599886699196,412.9874511036418,414.2150012616973,412.18225482959775
0.4200000000000001,-0.00308285407241,0.00732601719851,0.226686879154,0.0190539783353,0.0106242431752,0.0,-0.0245719504487,0.0527176171025,1.24544114399,-0.0163906225861,0.0218236611533,0.0,476.68380233165226,476.27480421646203,475.87988731754206,477.18061958624276
0.48000000000000015,-0.00478885893385,0.0108946973176,0.30493653213,0.0193520666628,0.0124096618333,0.0,-0.0324734129866,0.0662811259987,1.36274454172,-0.0300495610048,0.0282760219487,0.0,444.1736820655034,444.7025451404506,444.0450430424019,442.923237571253
0.5400000000000001,-0.00704761795486,0.0153055285298,0.391793870187,0.0179524036732,0.0194291522678,0.0,-0.0435770196964,0.0805783436483,1.53227950753,-0.0241901120427,0.0523778527899,0.0,459.33607979243607,461.2438740114137,460.11913597936586,460.5825568011424
0.6000000000000002,-0.0100756660392,0.0205157475134,0.48667438025,0.0191531585468,0.0229303264664,0.0,-0.0577057928405,0.0932344016786,1.63025860286,-0.043270405792,0.0578454561407,0.0,438.61433109213937,439.0701370512034,439.2825293054125,437.6972475896527
0.6600000000000003,-0.0140895883664,0.0265746517701,0.589990972945,0.0246150993151,0.0278582325382,0.0,-0.0766346775827,0.109313363989,1.81332788851,-0.0133511166995,0.0699229788652,0.0,464.60649650657797,465.55494905207263,464.119021787317,466.4607088819757
0.7200000000000003,-0.0191604682989,0.033532084044,0.697281636162,0.0252132646764,0.0350885404968,0.0,-0.092990236457,0.122640427683,1.76308616143,-0.00153774306539,0.0496010804762,0.0,391.61390228602465,389.7226805055358,388.5790289491008,389.68491991925424
0.7800000000000004,-0.025573586687,0.0414780365686,0.808728423466,0.0251136668666,0.0383935009417,0.0,-0.121158853999,0.142206895125,1.95148782151,-0.00348592429777,0.0420048782227,0.0,468.4935642444537,467.903818575018,466.48081886009317,466.3287205905122
0.8400000000000004,-0.0336039741251,0.0505033639543,0.927685695975,0.0260615623684,0.0413901307653,0.0,-0.146799496007,0.158714861098,2.01363086765,0.00715837314585,0.0484597667724,0.0,428.47662609367654,429.0261918825553,428.2722362294013,429.17658440378983
0.9000000000000005,-0.0431356358259,0.0604868633476,1.04789870378,0.0309077049273,0.047038570008,0.0,-0.171385922838,0.174497034453,1.99346879988,-0.017094498563,0.0654347935325,0.0,401.3205461007197,402.8606172771625,401.82302981998055,399.6184684715014
0.9600000000000005,-0.0542614701572,0.0714948756624,1.16710126819,0.0328579783863,0.0559560183393,0.0,-0.200258668035,0.192586400476,1.9799245365,0.000640992846575,0.0397313140887,0.0,404.4878859347842,402.1692033078523,403.29503327876574,404.8937975324727
1.0200000000000005,-0.0673558895912,0.0836857451703,1.28731773666,0.0357514247055,0.0584767248063,0.0,-0.236460725086,0.214027916261,2.02717967529,0.0179892894245,0.034305030638,0.0,424.4478806414708,423.98272437413334,423.5163187339333,425.0056804778975
1.0800000000000005,-0.083059883271,0.0974122187283,1.41575775962,0.0378767064493,0.0773084208389,0.0,-0.289200719069,0.243770861376,2.25356859255,0.00552201676529,0.0779851324905,0.0,478.1265220393026,481.4440793123425,480.39550715229234,479.44916263846517
1.1400000000000006,-0.102093107912,0.112855161252,1.55452674734,0.0410916709875,0.0868254736742,0.0,-0.346194395418,0.271337354882,2.37171878202,-0.0143186706034,0.100909158618,0.0,447.52340947108803,449.3913918634162,449.2897372600283,447.67831179286264
1.2000000000000006,-0.124857653939,0.130057320449,1.70171364387,0.040232733406,0.0933950459441,0.0,-0.413335139448,0.301952901848,2.53408472509,-0.0143095726602,0.0917559152196,0.0,463.7388651446961,463.0271346421036,462.1457625688459,462.14659821738326
1.2600000000000007,-0.151862530937,0.14911639067,1.85908293007,0.0441550525751,0.104365431561,0.0,-0.488063445783,0.333798714303,2.71098368863,-0.0394918890553,0.0649186169089,0.0,469.3512743926786,467.26908051344947,468.8362110974112,466.8755342043928
